dataset,filename,image_path,S-Global,J-Global,latency_s,peak_vram_gb,task,generated_output
Brixia-score-COVID-19,6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg,/content/Brixia-score-COVID-19/data/public-cohen-subset/6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg,18,17,16.336633404000168,5.422112464904785,report,The radiologic report reveals extensive bilateral lung opacities. There is moderate cardiomegaly present. Persistent lower lung volumes are observed. No evident pneumothorax is detected. 
Brixia-score-COVID-19,6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg,/content/Brixia-score-COVID-19/data/public-cohen-subset/6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg,18,17,16.336633404000168,5.422112464904785,differential_diagnosis,"Possible differential diagnoses based on this patient's radiographic findings could include pneumonia, pulmonary edema, acute respiratory distress syndrome (ARDS), or diffuse alveolar hemorrhage. "
Brixia-score-COVID-19,6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg,/content/Brixia-score-COVID-19/data/public-cohen-subset/6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg,18,17,16.336633404000168,5.422112464904785,question_answering,"Given the presence of diffuse bilateral pulmonary opacifications, further radiologic studies may be necessary to determine the underlying cause. A computed tomography (CT) scan of the chest could provide more detailed information. "
Brixia-score-COVID-19,acute-respiratory-distress-syndrome-ards-1.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/acute-respiratory-distress-syndrome-ards-1.jpg,18,17,17.30080636899993,5.4394941329956055,report,"The radiologic report reveals diffuse bilateral pulmonary opacifications. The cardiac silhouette is enlarged. The appearance could reflect severe pulmonary edema or multifocal pneumonia, alveolar hemorrhage, or even ARDS. "
Brixia-score-COVID-19,acute-respiratory-distress-syndrome-ards-1.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/acute-respiratory-distress-syndrome-ards-1.jpg,18,17,17.30080636899993,5.4394941329956055,differential_diagnosis,"Possible differential diagnoses based on this patient's radiographic findings could include Acute Respiratory Distress Syndrome (ARDS), pneumonia, pulmonary edema, or other conditions causing inflammation or damage to the lung tissue. "
Brixia-score-COVID-19,acute-respiratory-distress-syndrome-ards-1.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/acute-respiratory-distress-syndrome-ards-1.jpg,18,17,17.30080636899993,5.4394941329956055,question_answering,The radiologic report should be reviewed by a qualified radiologist to confirm the presence of pulmonary edema and to evaluate the size and significance of the cardiac silhouette. 
Brixia-score-COVID-19,16654_4_1.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/16654_4_1.jpg,17,17,15.505818058999921,5.440516471862793,report,"The chest radiograph reveals worsening bilateral upper lobe predominant opacities, with the right side being more affected than the left. There is also a moderate right pleural effusion that has grown in size. The cardiomediastinal contours are normal. "
Brixia-score-COVID-19,16654_4_1.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/16654_4_1.jpg,17,17,15.505818058999921,5.440516471862793,differential_diagnosis,"Possible differential diagnoses based on this patient's chest radiograph could include pulmonary edema, pneumonia, acute respiratory distress syndrome (ARDS), or diffuse alveolar hemorrhage. "
Brixia-score-COVID-19,16654_4_1.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/16654_4_1.jpg,17,17,15.505818058999921,5.440516471862793,question_answering,The endotracheal tube should be adjusted by pulling it back at least 2 cm. 
Brixia-score-COVID-19,pneumocystis-pneumonia-12.png,/content/Brixia-score-COVID-19/data/public-cohen-subset/pneumocystis-pneumonia-12.png,15,17,18.313474063000285,5.456852912902832,report,"The radiologic report reveals a mildly enlarged heart with normal mediastinal contours. There is no evidence of pneumothorax or focal airspace consolidation suggestive of pneumonia. The pulmonary vasculature appears slightly more prominent, indicating mild pulmonary edema. No pleural effusion is observed. "
Brixia-score-COVID-19,pneumocystis-pneumonia-12.png,/content/Brixia-score-COVID-19/data/public-cohen-subset/pneumocystis-pneumonia-12.png,15,17,18.313474063000285,5.456852912902832,differential_diagnosis,"Possible differential diagnoses based on this patient's radiographic findings could include pneumonia, pulmonary edema, acute respiratory distress syndrome (ARDS), or diffuse alveolar hemorrhage. "
Brixia-score-COVID-19,pneumocystis-pneumonia-12.png,/content/Brixia-score-COVID-19/data/public-cohen-subset/pneumocystis-pneumonia-12.png,15,17,18.313474063000285,5.456852912902832,question_answering,"A review of any available imaging to identify the chronicity of the left proximal humeral lesion is recommended. If previous imaging is not available, further radiologic study may be necessary. "
Brixia-score-COVID-19,covid-19-pneumonia-12.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/covid-19-pneumonia-12.jpg,14,17,16.509382320999975,5.498171329498291,report,"The radiologic report reveals a widened mediastinum, likely due to lymphadenopathy and mediastinal fat. There is no evidence of pneumothorax. A right upper lobe mass is present, along with a left upper lobe mass and nodular opacities in the right lower lobe. These findings are suggestive of multifocal pneumonia. Additionally, there are left perihilar opacities that could indicate atelectasis or pneumonia. "
Brixia-score-COVID-19,covid-19-pneumonia-12.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/covid-19-pneumonia-12.jpg,14,17,16.509382320999975,5.498171329498291,differential_diagnosis,"Possible differential diagnoses include pulmonary edema, pneumonia, and acute respiratory distress syndrome (ARDS). "
Brixia-score-COVID-19,covid-19-pneumonia-12.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/covid-19-pneumonia-12.jpg,14,17,16.509382320999975,5.498171329498291,question_answering,The feeding tube should be advanced for proper positioning. 
Brixia-score-COVID-19,covid-19-pneumonia-58-day-9.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/covid-19-pneumonia-58-day-9.jpg,12,17,15.221139614000094,5.435404300689697,report,The radiologic report reveals extensive left perihilar and left lower lobe opacities. There is also atelectasis in the right upper lobe. The cardiomediastinal contours are normal. No abnormalities were detected in the lungs. 
Brixia-score-COVID-19,covid-19-pneumonia-58-day-9.jpg,/content/Brixia-score-COVID-19/data/public-cohen-subset/covid-19-pneumonia-58-day-9.jpg,12,17,15.221139614000094,5.435404300689697,differential_diagnosis,"Possible differential diagnoses could include pneumonia, pulmonary edema, or acute respiratory distress syndrome (ARDS), among others. "
